document_id,clean_text,sentiment
65,white male born juli san francisco california grew san francisco induct militari follow bomb,neutral
66,born newport news virginia dure redress movement work depart justic offic redress administr os establish identifi,neutral
67,nisei femal born octob lo angel california grew sever citi california father minist live,positive
68,sansei male born san jose california rais san jose parent grandpar own store japantown remov santa,positive
69,nisei femal born lo angel california dure world war ii remov pomona assembl center california heart mountain concentr camp wyom,negative
70,yonsei femal born august chicago illinoi grew chicago parent famili resettl world war ii involv,neutral
71,nisei male born march sacramento california grew sacramento father migrant farm labor dure world war ii remov,neutral
72,niseisansei femal born decemb lo angel california dure world war ii sent famili santa anita assembl center california,negative
73,nisei femal born februari portland oregon grew portland sent educ japan age sixteen marri,neutral
74,white male born spokan washington serv pastor first methodist church portland oregon mainli japanes american congreg thirteen,positive
75,nisei male born januari clovi new mexico father work santa fe railroad on januari offici round,negative
76,nisei femal born juli seattl washington spent childhood seattl nihonmachi japantown parent ran u hotel attend bailey gatzert grade,negative
77,nisei femal born juli grew bainbridg island washington parent ran farm dure world war ii remov manzanar,neutral
78,nisei femal born januari lo angel california dure world war ii incarcer manzanar concentr camp california wrote manzanar,neutral
79,nisei male born januari brother frank emi leader heart mountain fair play committe fpc while incarcer help fpc organ,positive
80,nisei male born septemb lo angel california attend lo angel citi colleg one year leav run famili produc,neutral
81,,neutral
82,nisei male born septemb milwauki oregon dure world war ii remov portland assembl center oregon minidoka concentr camp,negative
83,nisei male born februari san francisco california grew san francisco attend univers california berkeley after,neutral
84,white femal born juli fullerton california grew bishop california rememb vise manzanar concentr camp california world war ii,neutral
85,nisei femal born novemb harwick california dure world war ii age nine remov famili fresno assembl,neutral
86,white male born brooklyn new york grew new york father mechan after world war ii enlist,positive
87,shinissei femal born march kasuga fukuoka japan grew kasuga parent ran farm graduat girl high school,positive
88,male italian irish descent born baltimor maryland grew countrysid outsid baltimor parent younger sister,neutral
89,nisei male born may marysvil california famili oper farm prior world war ii follow bomb pearl harbor,neutral
90,kibei male born august portland oregon sent sibl educ japan ten year old return unit,positive
91,nisei femal born march nyssa oregon parent ran farm dure world war ii remov portland assembl center oregon,negative
92,nisei male born gresham oregon grew greshamtroutdal area parent ran farm dure world war ii remov,neutral
93,nisei male born januari seattl washington grew jackson street neighborhood seattl washington incarcer puyallup assembl center washington,negative
94,nisei femal born march brook oregon grew brook parent ran farm dure world war ii remov,neutral
95,nisei femal born berkeley california dure world war ii remov tanforan assembl center california topaz concentr camp utah after,negative
96,nisei femal born januari one four sister grew near lo angel california parent ran nurseri busi follow bomb,positive
97,nisei male born januari colusa california rais ault colorado famili oper produc sugar beet farm assum respons farm,neutral
98,nisei male born lo angel california grew lo angel parent ran farm father becam garden dure world,neutral
99,nisei male born januari seattl washington spent prewar year seattl nihonmachiyesl terrac area incarcer puyallup assembl center washington,negative
100,kibei male born august a child sent live japan father pas attend school japan draft,positive
101,nisei male born april lo angel california grew california prior world war ii remov manzanar concentr camp california,neutral
102,yonsei male born februari lo angel california grew lo angel after graduat colleg took famili prestigi mortuari,neutral
103,nisei femal born septemb seattl washington had younger sister three younger brother father riichiro fukano employ orient trade compani,neutral
104,nisei femal born march montebello california live sever place southern california father flower grower dure world war,positive
105,nisei male born februari lo angel california grew lo angel father custodi work dure world war ii remov,neutral
106,yuriko furubayashi born januari waimea hawaii one ten child famili her father come hawaii,neutral
107,sansei femal born decemb topaz concentr camp utah prior world war ii parent live work alameda california dure,positive
108,nisei femal born march san jose california prior world war ii sent father live japan rel remain,positive
109,nisei male grew hilo hawaii wa veterinari student kansa state univers japan bomb pearl harbor volunt militari intellig,neutral
110,sansei male born novemb lo angel california dure world war ii father tuberculosi sanitarium taken,neutral
111,ana tanaka dr kyle kinoshita interview gabriel kazuko nomura gainor gainor mixedrac gosei fifth gener japanes american repres next gener,neutral
112,born wilmington delawar dure redress movement work depart justic offic redress administr os establish identifi,neutral
113,nisei femal born may milwauki oregon marri bomb pearl harbor two child dure world war ii remov,neutral
114,nisei femal born june alameda california wa age three japan bomb pearl harbor decemb remov famili,neutral
115,sansei femal born octob compton california a infant taken famili manzanar concentr camp california after govern issu,neutral
116,kibei nisei coupl kikuno born unit state move japan famili father pas away in lead,neutral
117,kibei nisei coupl kikuno born unit state move japan famili father pas away in lead,neutral
118,nisei femal born may sacramento california dure world war ii sent famili sacramento assembl center california tule,negative
119,kibei male grew kona hawaii after bomb pearl harbor volunt militari intellig instructor languag,neutral
120,nisei femal born septemb seattl washington parent oper store sanitari market known pike place market father,neutral
121,white femal born juli seattl washington grew seattl father gene boyd work seattl park depart gene,neutral
122,nisei male born june grew portland oregon after japan bomb pearl harbor receiv permit remain portland mass,neutral
123,nisei femal born juli portland oregon grew portland father own cloth store dure world war ii remov,positive
124,nisei femal born march hilo hawaii grew hilo father work japaneselanguag newspap follow bomb pearl,neutral
125,nisei male born may san gabriel california grew covina area california parent ran farm dure world,neutral
126,nisei femal born juli san gabriel california spent childhood lo angel father oper shoe repair busi groceri store,negative
127,nisei male born octob japan parent visit famili came u three month old grew,positive
128,nisei male born march penryn california spent childhood san jose california remov santa anita assembl center,negative
129,geri handa born san jose california studi earli school social welfar univers,positive
130,white male born octob hoboken new jersey educ histori ba ma phd univers california santa barbara work histori professor,positive
131,white male born june seattl washington grew bainbridg island washington mani japanes american friend observ mass remov,neutral
132,nisei male born januari portland oregon parent ran hotel busi dure world war ii remov portland assembl center,negative
133,nisei femal born may seattl washington spent childhood seattl move chicago illinoi three year studi music taught,negative
134,nisei femal born septemb portland oregon grew portland famili ran greenhous busi dure world war ii remov,neutral
135,kibei male born june lo angel california grew lo angel move japan attend school return,neutral
136,white femal born octob grew honolulu hawaii world war ii after colleg took job offic indian,neutral
137,nisei femal born octob parkdal oregon grew parkdal parent ran farm dure world war ii remov,neutral
138,nisei male born june bainbridg island washington hi famili built oper bainbridg garden acr meticul landscap properti,neutral
139,nisei femal born januari bellevu washington rais bellevu farm marri child incarcer pinedal,neutral
140,nisei femal born may lo angel california grew lo angel parent ran clean busi dure world war ii,positive
141,nisei male born septemb watsonvil california grew watsonvil remov salina assembl center california poston,negative
142,nisei femal born march rais seattl washington after bomb pearl harbor remov puyallup assembl center washington,negative
143,nisei femal born may winslow washington famili move bank oregon natsuko young dure world war ii move ontario,positive
144,nisei male born june mission british columbia canada grew mission move japan mother sister age,neutral
145,sansei femal born august de moin iowa spent earli childhood de moin father work refriger air condit,negative
146,nisei femal born decemb gardena california grew gardena parent ran restaur after bomb pearl harbor father,neutral
147,nisei male born januari el centro california grew variou place father establish seed busi dure world war ii,neutral
148,nisei femal born may sacramento california grew loomi area california parent ran farm fruit orchard,neutral
149,sansei femal born septemb honolulu hawaii grew honolulu parent own oper bakeri after bomb pearl,positive
150,nisei male born april san francisco california grew san jose california father ran farm wa activ member,neutral
151,in interview camila nakashima bill tashima interview loi hayasaka widow late phil hayasaka seattl jacl chapter presid hayasaka,negative
152,in interview camila nakashima bill tashima interview loi hayasaka widow late phil hayasaka seattl jacl chapter presid hayasaka,negative
153,sansei femal born may member san jose nihonmachi outreach committe noc nation coalit redressrepar ncrr help recruit individu testifi,neutral
154,nisei femal born januari lo angel california grew lo angel area parent ran flower busi dure world,neutral
155,born parlier fresno counti california matsuko hayashi pseudonym grew second oldest eight child firstgener,neutral
156,sansei male born septemb oakland california grandfath father famili member establish nurseri busi san francisco california prior,neutral
157,nisei femal born april portland oregon grew beaverton oregon parent farm sold produc nearbi market dure,neutral
158,nisei femal born januari winslow washington grew japan fletcher bay area bainbridg island washington member,neutral
159,nisei male born may seattl washington grew japanes american farm commun bellevu washington incarcer pinedal assembl,neutral
160,nisei femal born june willow california grew sacramento california prior world war ii dure war remov,neutral
161,white male born juli serv u armi world war ii work japanes american interpret u occup,neutral
162,nisei femal born august sacramento california grew sacramento lo angel dure world war ii remov manzanar concentr,neutral
163,nisei femal born august la jolla california dure world war ii remov santa anita assembl center california jerom,negative
164,nisei male born april modesto california grew modesto parent ran laundri busi farm dure world,neutral
165,nisei femal born march seattl washington grew seattl ellensburg washington go japan teach prior,neutral
166,sansei femal born lo angel california dure world war ii famili sent santa anita assembl center california,negative
167,nisei femal born januari lo angel counti california at young age remov poston concentr camp arizona famili after,positive
168,nisei male born april portland oregon grew lake oswego oregon parent ran farm dure world war ii remov,neutral
169,nisei femal born august milwauki oregon grew milwauki parent ran farm after bomb pearl harbor remov,neutral
170,nisei femal born juli san jose california move famili frequent child return san jose high school,positive
171,nisei male born septemb thoma washington grew small town thoma famili part white river valley,negative
172,nisei male born april seattl washington spent childhood thoma washington parent part christian,negative
173,kibei male born novemb thoma washington went japan age twelv attend school return u high,positive
174,niseisansei femal born seattl washington grew town christoph part auburn washington parent ran groceri store,neutral
175,nisei male born octob small town thoma washington famili farm attend school auburn washington remov,negative
176,sansei femal born may san rafael california grew san rafael eventu attend california state univers hayward univers california,neutral
177,sansei male born januari berkeley california grew oakland got involv music earli age attend cal state,neutral
178,nisei femal born denver colorado grew denver father tailor establish newspap rocki nippon dure world,neutral
179,niseisansei femal born novemb san francisco california remov tanforan assembl center california topaz concentr camp utah famili resettl salt,negative
180,kibei male born februari hilo hawaii at age four move japan famili oper farm attend school,neutral
181,nisei male born februari lodi california resettl voluntarili mankato minnesota prior mass remov resettl central california member,neutral
182,kibeinisei male born novemb spokan washington at age ten went japan grandfath dure world war ii conscript,neutral
183,nisei femal born novemb wenatche washington grew wenatche move seattl famili incarcer puyallup,neutral
184,nisei male born juli alviso california live variou place california child after bomb pearl harbor,positive
185,nisei femal born juli seattl washington father ran promin hotel frequent patron visit japanes dignitari father pick,positive
186,nisei male born courtland california grew clarksburg area parent ran farm dure world war ii remov turlock,neutral
187,nisei femal born januari sacramento california grew small commun clarksburg courtland war dure world war,negative
188,sansei male after world war ii attend japanes languag school clarksburg holland gakuen,neutral
189,nisei femal born januari florin california grew florin parent oper farm dure world war ii remov,neutral
190,nisei male born june oakland california grew oakland berkeley california after bomb pearl harbor remov famili,neutral
191,nisei male februari bellevu washington dure world war ii incarcer pinedal assembl center california tule lake concentr camp california,negative
192,nisei femal born hood river oregon grew hood river parent own oper orchard dure world war ii remov,positive
193,nisei male born march san francisco california grew lo angel california dure world war ii remov manzanar,neutral
194,nisei femal born may long beach california dure world war ii remov santa anita assembl center california jerom,negative
195,issei femal born june tono citi iwateken japan immigr unit state incarcer santa anita assembl center,negative
196,sansei male born juli tule lake concentr camp california parent hawaii father pick fbi,neutral
197,nisei femal born septemb santa clara california grew santa clara redwood citi california world war ii dure,neutral
198,nisei femal born june hilo hawaii after japan bomb pearl harbor decemb father pick fbi,neutral
199,nisei male born januari seattl washington grew seattl parent own hotel intern district in interview discus,positive
200,nisei male born san francisco california after bomb pearl harbor move famili stay rel watsonvil california dure,neutral
201,nisei male born decemb salem oregon famili move frequent war due father profess methodist minist dure world,negative
202,nisei male born juli gardena california passiv resist evacu forc two soldier carri home incarcer,neutral
203,nisei femal born novemb portland oregon grew portland parent ran clean busi dure world war ii remov,positive
204,nisei femal born februari seattl washington grew seattl bellevu washington area in involv seriou,neutral
205,sansei femal born june denver colorado parent move leav camp world war ii grew om denver father,neutral
206,nisei male born juli seattl washington grew seattl remov puyallup assembl center washington minidoka,negative
207,femal born august vallejo california due father career promin navi admir move frequent grow live hawaii,positive
208,nisei male born septemb tacoma washington grew tacoma except live japan sever year age four attend,positive
209,nisei male born april seattl washington spent prewar year seattl central area incarcer puyallup assembl center washington minidoka,negative
210,nisei male born decemb livingston california parent help establish farm commun call yamato coloni lost father,neutral
211,nisei male born octob lo angel california grew lo angel parent own oper produc store after,positive
212,nisei male born seattl januari attend washington grade school garfield high school univers washington he grew,positive
213,sansei femal born april sacramento california grew sacramento move boyl height california dure world war ii remov,neutral
214,nisei male born novemb fresno california move famili young age seattl washington father minist,positive
215,issei femal born shimonoseki japan attend school japan encourag father studi english marri buddhist minist immigr,neutral
216,nisei femal born decemb stockton california grew sacramento boyl height california attend maryknol cathol school lo angel dure,neutral
217,nisei femal born march portland oregon grew independ oregon parent ran farm marri pregnant first,positive
218,nisei male born februari san juan bautista california grew nearbi town salina dure world war ii remov,neutral
219,nisei femal born februari fresno california parent own tofu shop mother pas away prior world war ii give birth,positive
220,nisei femal born may seattl washington grew seatl father wsa head bellboy exclus club attend,neutral
221,sansei male born januari seattl washington dure world war ii parent incarcer puyallup assembl center washington minidoka concentr,negative
222,nisei male born august portland oregon incarcer north portland assembl center minidoka concentr camp idaho kept diari begin,negative
223,nisei male born februari seattl washington grew seattl japantown area parent oper hotel after bomb pearl,neutral
224,sansei male born decemb lo angel california dure world war ii parent incarcer tule lake concentr camp california,neutral
225,nisei femal born februari lo angel california grew santa monica california marri prior world war ii dure war,neutral
226,nisei male born august lo angel california dure world war ii remov manzanar concentr camp california work reservoir,neutral
227,niseisansei male born juli seattl washington parent ran hotel dure world war ii remov puyallup assembl center washington,negative
228,nisei male born august oakland california follow bomb pearl harbor move famili reno nevada,neutral
229,nisei femal born june vacavil california grew vacavil remov turlock assembl center california gila,negative
230,nisei male born januari dee oregon grew dee former sawmil town father work oregon lumber compani,neutral
231,sansei male born april gila river concentr camp arizona hi father late rev kanmo imamura former bishop,negative
232,sansei femal born may tule lake concentr camp california her parent kibei grew san francisco california dure world,neutral
233,nisei male born may walnut grove california parent work canal ranch agricultur commun grew produc libbi mcneill,neutral
234,sansei male born septemb yakima washington grew yakima area sever gener famili member run farm,neutral
235,nisei femal born septemb portland oregon grew milwauki oregon parent ran farm dure world war ii remov,neutral
236,nisei femal born februari portland oregon grew portland area parent ran farm dure world war ii remov,neutral
237,nisei male born januari seattl washington grew tacoma washington father ran japanes confectioneri in earli move,neutral
238,nisei femal born san juan bautista california dure world war ii remov husband manzanar concentr camp california a result,neutral
239,nisei male born august waipahu hawaii grew waipahu sugar plantat parent work wa attend midpacif institut honolulu,neutral
240,nisei male born septemb honolulu hawaii serv allvolunt allnisei nd regiment combat team world war ii lost right,positive
241,nisei femal born novemb seattl washington grew seattl graduat salutatorian broadway high school wa enrol premed,positive
242,issei femal born novemb okinawa japan grew japan parent ran farm dure world war ii alli,neutral
243,nisei femal born april portland oregon grew portland parent ran hotel in went famili,neutral
244,nisei femal born septemb bakersfield california follow bomb pearl harbor remov poston concentr camp arizona after leav,neutral
245,white male born salem massachusett famili move frequent childhood due father employ strongli influenc parent valu regard racial toler,negative
246,nisei male born april thoma washington grew thoma father ran gener store dure world war ii remov,neutral
247,nisei femal born septemb grew culver citi california parent ran nurseri busi dure world war ii remov,neutral
248,nisei male born june fresno california grew gardena area lo angel california move japan parent,neutral
249,in interview ana tanaka joy misako st germain led convers ray ishii serv seattl jacl presid,positive
250,nisei male born juli lo angel california went live japan colleg student return prior bomb,positive
251,nisei femal born june mayfield california grew mountain view area famili ran berri farm after japan bomb,neutral
252,nisei male born januari berkeley california serv militari intellig servic world war ii,neutral
253,sansei male born april east lo angel grew south central lo angel watt neighborhood parent own,positive
254,nisei femal born march seattl washington spent childhood medina bellevu washington while high school member,positive
255,nisei male born august riversid california grew lo angel california graduat colleg world war ii dure war,neutral
256,nisei male born august mission british columbia canada grew mission attend school help famili farm left home,neutral
257,nisei male born juli stockton california emeritu professor anatomi harvard medic school dure world war ii second lieuten nd,neutral
258,nisei femal born septemb lo angel california grew lo angel father work littl tokyo dure world war ii,neutral
259,nisei male born octob bellevu washington dure world war ii incarcer pinedal assembl center california tule lake concentr camp,negative
260,sansei male born juli san francisco california grew san francisco develop earli interest disney,neutral
261,nisei femal born decemb berkeley california grew berkeley parent oper nurseri busi after bomb pearl harbor,neutral
262,nisei femal born may watsonvil california grew watsonvil marri bomb pearl harbor dure world war ii,neutral
263,nisei femal born novemb portland oregon grew portland parent ran hotel busi dure world war ii remov,neutral
264,nisei male born june termin island california grew termin island remov manzanar concentr camp california,neutral
265,nisei femal grew san francisco california dure world war ii remov santa anita assembl center california topaz concentr,negative
266,nisei male wgrew california dure world war ii remov tanforan assembl center california topaz concentr camp utah,negative
267,nisei male born februari rais california remov manzanar concentr camp california follow bomb pearl harbor after world war,neutral
268,nisei male born may villa park california grew termin island california father fisherman dure world war ii,neutral
269,nisei femal born novemb watsonvil california grew watsonvil famili oper truck farm after bomb pearl harbor,neutral
270,born septemb madra india attend jakarta intern school indonesia move unit state attend colleg georgetown,neutral
271,born alexandria virginia dure redress movement depart justic offic redress administr os establish identifi administ repar payment,neutral
272,white male born arkansa dure world war ii father project director rohwer concentr camp arkansa jame along,neutral
273,white male born arkansa dure world war ii father project director rohwer concentr camp arkansa william along,neutral
274,white male born juli salina california parent own oper farm salina area prior world war ii dure,positive
275,nisei femal born septemb port moodi british columbia canada went parent japan attend school return,neutral
276,nisei male born juli lo angel california grew lo angel area lost parent earli age,neutral
277,sansei male born march lo angel california son akira kageyama one key player guyaul rubberproduc project,neutral
278,nisei femal born januari monterey park california grew sever differ place california parent ran truck farm busi dure,neutral
279,sansei femal born june chicago illinoi dure world war ii father famili sent santa anita assembl center california,negative
280,nisei male born may lo angel california grew lo angel high school japan bomb pearl harbor,positive
281,nisei femal born april lo angel california grew boyl height neighborhood father promin medic physician dure,neutral
282,nisei male born march oyster bay washington incarcer tule lake concentr camp california serv fundrais chair japanes american,neutral
283,nisei male grew lo angel california marri remov wife tanforan assembl center california topaz concentr,negative
284,nisei femal born juli portland oregon grew greshamtroutdal area oregon parent farm dure world war,neutral
285,born virginia dure redress movement work depart justic offic redress administr os establish identifi administ,neutral
286,nisei male born april galt california grew hollist california dure world war ii remov salina assembl center california,negative
287,nisei male born june fairfax washington grew venic california parent produc farm dure world war ii remov,neutral
288,nisei femal born octob pasadena california grew pasadena father work garden dure world war ii remov,neutral
289,nisei male born juli seattl washington grew thomasauburn area washington follow execut order famili remov,neutral
290,nisei femal born octob lo angel california grew lo angel age nine japan bomb pearl harbor dure,neutral
291,nisei femal born septemb pasadena california grew lo angel father oper success importexport busi retail store graduat,positive
292,born honolulu hawaii dure redress movement depart justic offic redress administr os establish identifi administ repar payment,neutral
293,nisei femal born decemb seattl washington live japan fifteen month child return seattl attend junior,positive
294,nisei femal born januari lo angel california grew covina california work wartim civil control administr wcca volunt,neutral
295,nisei femal born decemb el centro california grew variou place california parent own barbershop after bomb,positive
296,nisei femal born april baldwin park california after bomb pearl harbor move sister new york sponsorship,positive
297,nisei femal born april portland oregon spent one summer japan onset war u japan,negative
298,nisei male born june seattl washington follow bomb pearl harbor remov puyallup assembl center washington minidoka,negative
299,nisei femal born april seattl washington incarcer puyallup assembl center washington minidoka concentr camp idaho resettl war,negative
300,nisei male born april waialua hawaii grew hawaii father buddhist priest dure world war ii serv,neutral
301,nisei femal born februari isleton california grew isleton parent oper board hous after bomb pearl harbor,neutral
302,nisei male born novemb sacramento california spent childhood adolesc loomi california spend senior year high school lo,positive
303,nisei femal born june sacramento california grew newcastl california parent tenant farmer dure world war ii remov,neutral
304,nisei male born septemb portland oregon grew portland parent ran small groceri store dure world war ii remov,negative
305,nisei male born decemb seattl washington grew seattl dure world war ii incarcer minidoka concentr camp idaho serv,neutral
306,niseisansei femal born februari hood river oregon grew mosier oregon parent work orchard truck,neutral
307,nisei femal born septemb san francisco california grew san francisco father ran dri clean busi dure world war,positive
308,nisei male born septemb san leandro california grew san leandro father ran farm dure world war ii remov,neutral
309,nisei male born decemb cupertino california attend san jose state colleg ncaa wrestl champion immedi bomb,neutral
310,nisei male born june graham washington move famili earli age lo angel california father own oper,positive
311,nisei male born may san juan capistrano california grew variou place california dure world war ii remov,neutral
312,sansei femal born april auburn california grew loomi california dure world war ii remov marysvil assembl center california,negative
313,nisei male born novemb mountain view hawaii grew hawaii parent ran sugar cane plantat wa work haul lumber,neutral
314,yonsei born lo angel california rais ohio dure world war ii member famili incarcer manzanar tule,neutral
315,white male german descent born decemb oketo kansa work shipyard termin island california japan bomb pearl harbor,neutral
316,sansei femal born decemb sawtel california grew huntington beach california father work chauffeur after bomb,neutral
317,nisei male born octob lo angel california grew hollywood neighborhood lo angel parent ran dri clean,positive
318,male born octob amach colorado river concentr camp colorado grew san francisco california parent ran hotel at,neutral
319,sansei male born januari sacramento california grew florin area parent ran farm dure world war ii remov,neutral
320,nisei male recruit teach armi languag school fall help establish militari intellig servic languag school presidio,neutral
321,nisei femal born januari portland oregon grew fairview oregon famili ran farm marri child,neutral
322,nisei male born octob childhood live variou place midwest seattl washington lo angel california wa high,positive
323,nisei male born decemb lo angel california grew lo angel dure world war ii volunt move manzanar concentr,neutral
324,kibei male born march lo angel california at month age remov manzanar tule lake concentr,neutral
325,nisei femal born may lo angel california grew boyl height father promin baptist minist establish,neutral
326,nisei male born januari sacramento california dure world war ii sent topaz concentr camp utah volunt militari,neutral
327,nisei male born septemb sheridan wyom at young age move seattl washington spent childhood wa enrol,neutral
328,nisei male born august spent earli year japan return bainbridg island washington dure world war ii remov manzanar,negative
329,nisei femal born octob enumclaw washington famili move nahcotta washington ran oyster farm marri prior world war ii,neutral
330,nisei femal born octob seattl washington grew green lake area incarcer puyallup assembl center washington,negative
331,nisei male born octob gresham oregon grew gresham parent ran farm dure world war ii remov,neutral
332,in interview brent sato joy misako st germain interview dr kyle kinoshita discus kinoshita mother late cherri kinoshita kyle kinoshita,positive
333,nisei femal born februari portland oregon dure world war ii remov portland assembl center oregon minidoka concentr camp,negative
334,sansei femal born novemb lo angel california dure world war ii remov small child manzanar concentr camp california,negative
335,sansei male born decemb san jose california remov infant parent heart mountain concentr camp wyom after leav,neutral
336,nisei male born august ookala hawaii at young age sent japan live grandfath begin ministri train,positive
337,nisei femal born octob strawberri hill british columbia near vancouv grew strawberri hill parent ran farm dure world,positive
338,sansei male born may bainbridg island washington incarcer parent manzanar concentr camp california minidoka concentr camp idaho return,neutral
339,nisei femal born april bainbridg island washington grew bainbridg eight year old japan bomb pearl harbor,positive
340,nisei femal born hayward california marri remov husband tanforan assembl center california topaz concentr camp,negative
341,nisei male born juli bainbridg island washington grew bainbridg parent ran nurseri busi dure world war ii remov,neutral
342,nisei male born novemb portland oregon grew portland parent ran hotel dure world war ii remov,neutral
343,kibei male born octob seattl washington rais primarili san francisco california spend four year hiratsuka japan wa incarcer,neutral
344,nisei male born april watsonvil california grew watsonvil age six famili move salina follow bomb,neutral
345,nisei male born juli imperi valley california incarcer tular assembl center california gila river concentr camp arizona tule,negative
346,nisei femal born septemb seattl washington grew seattl great depress in late move famili,positive
347,nisei male born septemb seattl washington grew seattl graduat univers washington prior world war ii,neutral
348,nisei femal born may san pedro california dure world war ii incarcer santa anita assembl center california jerom,negative
349,nisei femal born august bainbridg island washington grew bainbridg island remov famili manzanar concentr camp california,neutral
